Algoritm,Dimensiune,TipDate,Timp(secunde)
BubbleSort,10,Random,0.000000886903
SelectionSort,10,Random,0.000000276759
InsertionSort,10,Random,0.000000231236
MergeSort,10,Random,0.000003233060
QuickSort,10,Random,0.000000291851
IntroSort,10,Random,0.000000325303
StdSort,10,Random,0.000000332708
BubbleSort,10,Sorted,0.000000205793
SelectionSort,10,Sorted,0.000000364422
InsertionSort,10,Sorted,0.000000115266
MergeSort,10,Sorted,0.000003266191
QuickSort,10,Sorted,0.000000193094
IntroSort,10,Sorted,0.000000125062
StdSort,10,Sorted,0.000000300590
BubbleSort,10,Reverse,0.000000624040
SelectionSort,10,Reverse,0.000000485802
InsertionSort,10,Reverse,0.000000730466
MergeSort,10,Reverse,0.000002783558
QuickSort,10,Reverse,0.000000200775
IntroSort,10,Reverse,0.000000494169
StdSort,10,Reverse,0.000000432356
BubbleSort,10,NearlySorted,0.000000225391
SelectionSort,10,NearlySorted,0.000000267757
InsertionSort,10,NearlySorted,0.000000082994
MergeSort,10,NearlySorted,0.000003510613
QuickSort,10,NearlySorted,0.000000216971
IntroSort,10,NearlySorted,0.000000206017
StdSort,10,NearlySorted,0.000000243817
BubbleSort,10,Flat,0.000000453381
SelectionSort,10,Flat,0.000000286643
InsertionSort,10,Flat,0.000000334470
MergeSort,10,Flat,0.000002859864
QuickSort,10,Flat,0.000000316487
IntroSort,10,Flat,0.000000266054
StdSort,10,Flat,0.000000409356
BubbleSort,100,Random,0.000073028815
SelectionSort,100,Random,0.000030436125
InsertionSort,100,Random,0.000031346950
MergeSort,100,Random,0.000043070800
QuickSort,100,Random,0.000008319525
IntroSort,100,Random,0.000007487740
StdSort,100,Random,0.000013048445
BubbleSort,100,Sorted,0.000029696980
SelectionSort,100,Sorted,0.000026964785
InsertionSort,100,Sorted,0.000001252385
MergeSort,100,Sorted,0.000045460475
QuickSort,100,Sorted,0.000003319500
IntroSort,100,Sorted,0.000034446970
StdSort,100,Sorted,0.000007456960
BubbleSort,100,Reverse,0.000084303575
SelectionSort,100,Reverse,0.000034952750
InsertionSort,100,Reverse,0.000048397460
MergeSort,100,Reverse,0.000068863020
QuickSort,100,Reverse,0.000008373525
IntroSort,100,Reverse,0.000053726130
StdSort,100,Reverse,0.000017819005
BubbleSort,100,NearlySorted,0.000079080525
SelectionSort,100,NearlySorted,0.000056981150
InsertionSort,100,NearlySorted,0.000007035720
MergeSort,100,NearlySorted,0.000047989715
QuickSort,100,NearlySorted,0.000003857480
IntroSort,100,NearlySorted,0.000016415090
StdSort,100,NearlySorted,0.000007441990
BubbleSort,100,Flat,0.000060776020
SelectionSort,100,Flat,0.000031421930
InsertionSort,100,Flat,0.000029026210
MergeSort,100,Flat,0.000048341150
QuickSort,100,Flat,0.000004464185
IntroSort,100,Flat,0.000005136565
StdSort,100,Flat,0.000006995230
BubbleSort,1000,Random,0.006212817200
SelectionSort,1000,Random,0.002381305000
InsertionSort,1000,Random,0.002449054000
MergeSort,1000,Random,0.000727214000
QuickSort,1000,Random,0.000098060800
IntroSort,1000,Random,0.000163432200
StdSort,1000,Random,0.000222678800
BubbleSort,1000,Sorted,0.002839085800
SelectionSort,1000,Sorted,0.002499661800
InsertionSort,1000,Sorted,0.000008020000
MergeSort,1000,Sorted,0.000453084400
QuickSort,1000,Sorted,0.000058765600
IntroSort,1000,Sorted,0.000568078600
StdSort,1000,Sorted,0.000104342600
BubbleSort,1000,Reverse,0.018095700600
SelectionSort,1000,Reverse,0.006279650800
InsertionSort,1000,Reverse,0.011190537400
MergeSort,1000,Reverse,0.001178024600
QuickSort,1000,Reverse,0.000116327600
IntroSort,1000,Reverse,0.001052716600
StdSort,1000,Reverse,0.000199542600
BubbleSort,1000,NearlySorted,0.007509474800
SelectionSort,1000,NearlySorted,0.006476190800
InsertionSort,1000,NearlySorted,0.000737654600
MergeSort,1000,NearlySorted,0.001244625800
QuickSort,1000,NearlySorted,0.000094331000
IntroSort,1000,NearlySorted,0.000600029000
StdSort,1000,NearlySorted,0.000267336600
BubbleSort,1000,Flat,0.015402549000
SelectionSort,1000,Flat,0.006120881000
InsertionSort,1000,Flat,0.005372210800
MergeSort,1000,Flat,0.001360771200
QuickSort,1000,Flat,0.000235013200
IntroSort,1000,Flat,0.000313746200
StdSort,1000,Flat,0.000334723400
BubbleSort,10000,Random,1.736840770000
SelectionSort,10000,Random,0.606981220000
InsertionSort,10000,Random,0.550419130000
MergeSort,10000,Random,0.016050560000
QuickSort,10000,Random,0.004385720000
IntroSort,10000,Random,0.007107490000
StdSort,10000,Random,0.007016510000
BubbleSort,10000,Sorted,0.625660280000
SelectionSort,10000,Sorted,0.606648930000
InsertionSort,10000,Sorted,0.000000000000
MergeSort,10000,Sorted,0.014166060000
QuickSort,10000,Sorted,0.001663440000
IntroSort,10000,Sorted,0.018413320000
StdSort,10000,Sorted,0.002895460000
BubbleSort,10000,Reverse,1.958746160000
SelectionSort,10000,Reverse,0.600717890000
InsertionSort,10000,Reverse,1.087278590000
MergeSort,10000,Reverse,0.014850580000
QuickSort,10000,Reverse,0.001669150000
IntroSort,10000,Reverse,0.018845500000
StdSort,10000,Reverse,0.002785100000
BubbleSort,10000,NearlySorted,0.799308170000
SelectionSort,10000,NearlySorted,0.602417890000
InsertionSort,10000,NearlySorted,0.068969010000
MergeSort,10000,NearlySorted,0.014247350000
QuickSort,10000,NearlySorted,0.001665230000
IntroSort,10000,NearlySorted,0.011167620000
StdSort,10000,NearlySorted,0.003824790000
BubbleSort,10000,Flat,1.663166470000
SelectionSort,10000,Flat,0.604589210000
InsertionSort,10000,Flat,0.510890530000
MergeSort,10000,Flat,0.014891410000
QuickSort,10000,Flat,0.003455120000
IntroSort,10000,Flat,0.003688000000
StdSort,10000,Flat,0.004940040000
MergeSort,50000,Random,0.091044800000
QuickSort,50000,Random,0.023460500000
IntroSort,50000,Random,0.036048700000
StdSort,50000,Random,0.033180800000
MergeSort,50000,Sorted,0.074478200000
QuickSort,50000,Sorted,0.010504200000
IntroSort,50000,Sorted,0.110150900000
StdSort,50000,Sorted,0.016773900000
